track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time
166, Motorcycle,30.24,23.66902,37.982871,23.729191,30.4189,0.0697,-0.1526,4.2
167, Car,475.79,35.984281,37.979903,23.733315,46.9275,-0.0236,-0.2325,4.2
168, Car,472.64,54.886865,37.979884,23.733239,51.0416,-0.0055,-0.2105,5.0
169, Taxi,471.91,38.091215,37.982871,23.729189,32.033,-0.0089,0.1004,5.4
170, Taxi,462.84,26.532208,37.979896,23.733312,43.3926,-0.0229,-0.1301,5.4
171, Car,474.22,44.926363,37.979892,23.733267,53.3345,0.0439,-0.0529,5.4
172, Taxi,133.15,5.446964,37.979819,23.731119,17.5895,0.008,0.0533,5.8
173, Car,481.05,2.175055,37.979911,23.733345,46.2795,0.0119,-0.3988,6.6
174, Car,472.52,52.827793,37.979883,23.733233,53.768,0.0277,-0.0462,7.0
175, Car,471.22,43.721484,37.982869,23.729186,34.2759,0.0153,-0.2822,7.2
176, Motorcycle,36.01,16.202485,37.982783,23.729018,23.5728,-0.0176,0.3421,7.8
177, Motorcycle,475.2,55.90559,37.97989,23.733285,61.837,0.0286,0.1095,7.8
178, Motorcycle,477.48,2.163787,37.979914,23.733349,46.1841,0.0228,0.0935,8.4
179, Taxi,472.58,47.521663,37.979888,23.733271,54.8895,0.0359,0.1288,8.8
180, Motorcycle,472.06,48.2784,37.982864,23.72917,29.2113,3.2979,-0.5564,9.0
181, Car,472.36,38.47303,37.979913,23.733295,57.8883,-0.0149,-0.1784,9.8
182, Car,473.44,59.179519,37.97987,23.733248,62.2924,0.402,-0.4076,10.2
183, Car,408.5,16.089829,37.981622,23.733257,32.3985,-0.0908,-0.1242,10.6
184, Car,133.61,5.183322,37.979813,23.731113,21.1734,0.0592,0.0913,10.8
185, Car,472.6,48.33411,37.979894,23.733261,58.5129,0.0107,-0.2504,11.0
186, Motorcycle,474.38,49.934455,37.979885,23.733261,57.056,0.458,-1.1343,11.6
187, Motorcycle,475.86,41.3787,37.979895,23.733303,55.5,-0.0229,-0.1319,11.8
188, Motorcycle,474.63,49.67085,37.979897,23.733285,58.9592,0.1089,-0.6467,12.4
189, Motorcycle,476.1,48.692003,37.979878,23.733283,60.247,-0.0069,0.216,13.0
